name,type,sponsoring_org,iana_url
.blanco,generic,BLANCO GmbH + Co KG,https://www.iana.org/domains/root/db/blanco.html
.blockbuster,generic,Dish DBS Corporation,https://www.iana.org/domains/root/db/blockbuster.html
.blog,generic,"Knock Knock WHOIS There, LLC",https://www.iana.org/domains/root/db/blog.html
.bloomberg,generic,Bloomberg IP Holdings LLC,https://www.iana.org/domains/root/db/bloomberg.html
.blue,generic,Afilias Limited,https://www.iana.org/domains/root/db/blue.html
.bm,country-code,"Registry General Department, Ministry of Home Affairs",https://www.iana.org/domains/root/db/bm.html
.bms,generic,Bristol-Myers Squibb Company,https://www.iana.org/domains/root/db/bms.html
.bmw,generic,Bayerische Motoren Werke Aktiengesellschaft,https://www.iana.org/domains/root/db/bmw.html
.bn,country-code,Brunei Darussalam Network Information Centre Sdn Bhd (BNNIC),https://www.iana.org/domains/root/db/bn.html
.bnl,generic,Banca Nazionale del Lavoro,https://www.iana.org/domains/root/db/bnl.html
.bnpparibas,generic,BNP Paribas,https://www.iana.org/domains/root/db/bnpparibas.html
.bo,country-code,Agencia para el Desarrollo de la Información de la Sociedad en Bolivia,https://www.iana.org/domains/root/db/bo.html
.boats,generic,"DERBoats, LLC",https://www.iana.org/domains/root/db/boats.html
.boehringer,generic,Boehringer Ingelheim International GmbH,https://www.iana.org/domains/root/db/boehringer.html
.bofa,generic,"NMS Services, Inc.",https://www.iana.org/domains/root/db/bofa.html
.bom,generic,Núcleo de Informação e Coordenação do Ponto BR - NIC.br,https://www.iana.org/domains/root/db/bom.html
.bond,generic,Bond University Limited,https://www.iana.org/domains/root/db/bond.html
.boo,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/boo.html
.book,generic,"Amazon Registry Services, Inc.",https://www.iana.org/domains/root/db/book.html
.booking,generic,Booking.com B.V.,https://www.iana.org/domains/root/db/booking.html
.boots,generic,THE BOOTS COMPANY PLC,https://www.iana.org/domains/root/db/boots.html
.bosch,generic,Robert Bosch GMBH,https://www.iana.org/domains/root/db/bosch.html
.bostik,generic,Bostik SA,https://www.iana.org/domains/root/db/bostik.html
.bot,generic,"Amazon Registry Services, Inc.",https://www.iana.org/domains/root/db/bot.html
.boutique,generic,"Over Galley, LLC",https://www.iana.org/domains/root/db/boutique.html
.bq,country-code,Not assigned,https://www.iana.org/domains/root/db/bq.html
.br,country-code,Comite Gestor da Internet no Brasil,https://www.iana.org/domains/root/db/br.html
.bradesco,generic,Banco Bradesco S.A.,https://www.iana.org/domains/root/db/bradesco.html
.bridgestone,generic,Bridgestone Corporation,https://www.iana.org/domains/root/db/bridgestone.html
.broadway,generic,"Celebrate Broadway, Inc.",https://www.iana.org/domains/root/db/broadway.html
.broker,generic,DOTBROKER REGISTRY LTD,https://www.iana.org/domains/root/db/broker.html
.brother,generic,"Brother Industries, Ltd.",https://www.iana.org/domains/root/db/brother.html
.brussels,generic,DNS.be vzw,https://www.iana.org/domains/root/db/brussels.html
.bs,country-code,The College of the Bahamas,https://www.iana.org/domains/root/db/bs.html
.bt,country-code,Ministry of Information and Communications,https://www.iana.org/domains/root/db/bt.html
.budapest,generic,Top Level Domain Holdings Limited,https://www.iana.org/domains/root/db/budapest.html
.bugatti,generic,Bugatti International SA,https://www.iana.org/domains/root/db/bugatti.html
.build,generic,Plan Bee LLC,https://www.iana.org/domains/root/db/build.html
.builders,generic,"Atomic Madison, LLC",https://www.iana.org/domains/root/db/builders.html
.business,generic,"Spring Cross, LLC",https://www.iana.org/domains/root/db/business.html
.buy,generic,"Amazon Registry Services, INC",https://www.iana.org/domains/root/db/buy.html
.buzz,generic,DOTSTRATEGY CO.,https://www.iana.org/domains/root/db/buzz.html
.bv,country-code,UNINETT Norid A/S,https://www.iana.org/domains/root/db/bv.html
.bw,country-code,Botswana Communications Regulatory Authority (BOCRA),https://www.iana.org/domains/root/db/bw.html
.by,country-code,"Reliable Software, Ltd.",https://www.iana.org/domains/root/db/by.html
.bz,country-code,University of Belize,https://www.iana.org/domains/root/db/bz.html
.bzh,generic,Association www.bzh,https://www.iana.org/domains/root/db/bzh.html
.ca,country-code,Canadian Internet Registration Authority (CIRA) Autorité Canadienne pour les enregistrements Internet (ACEI),https://www.iana.org/domains/root/db/ca.html
.cab,generic,"Half Sunset, LLC",https://www.iana.org/domains/root/db/cab.html
.cafe,generic,"Pioneer Canyon, LLC",https://www.iana.org/domains/root/db/cafe.html
.cal,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/cal.html
.call,generic,"Amazon Registry Services, Inc.",https://www.iana.org/domains/root/db/call.html
.calvinklein,generic,PVH gTLD Holdings LLC,https://www.iana.org/domains/root/db/calvinklein.html
.cam,generic,AC Webconnecting Holding B.V.,https://www.iana.org/domains/root/db/cam.html
.camera,generic,"Atomic Maple, LLC",https://www.iana.org/domains/root/db/camera.html
.camp,generic,"Delta Dynamite, LLC",https://www.iana.org/domains/root/db/camp.html
.cancerresearch,generic,Australian Cancer Research Foundation,https://www.iana.org/domains/root/db/cancerresearch.html
.canon,generic,Canon Inc.,https://www.iana.org/domains/root/db/canon.html
.capetown,generic,ZA Central Registry NPC trading as ZA Central Registry,https://www.iana.org/domains/root/db/capetown.html
.capital,generic,"Delta Mill, LLC",https://www.iana.org/domains/root/db/capital.html
.capitalone,generic,Capital One Financial Corporation,https://www.iana.org/domains/root/db/capitalone.html
.car,generic,Cars Registry Limited,https://www.iana.org/domains/root/db/car.html
.caravan,generic,"Caravan International, Inc.",https://www.iana.org/domains/root/db/caravan.html
.cards,generic,"Foggy Hollow, LLC",https://www.iana.org/domains/root/db/cards.html
.care,generic,"Goose Cross, LLC",https://www.iana.org/domains/root/db/care.html
.career,generic,dotCareer LLC,https://www.iana.org/domains/root/db/career.html
.careers,generic,"Wild Corner, LLC",https://www.iana.org/domains/root/db/careers.html
.cars,generic,Cars Registry Limited,https://www.iana.org/domains/root/db/cars.html
.cartier,generic,Richemont DNS Inc.,https://www.iana.org/domains/root/db/cartier.html
.casa,generic,Top Level Domain Holdings Limited,https://www.iana.org/domains/root/db/casa.html
.cash,generic,"Delta Lake, LLC",https://www.iana.org/domains/root/db/cash.html
.casino,generic,"Binky Sky, LLC",https://www.iana.org/domains/root/db/casino.html
.cat,sponsored,Fundacio puntCAT,https://www.iana.org/domains/root/db/cat.html
.catering,generic,New Falls. LLC,https://www.iana.org/domains/root/db/catering.html
.cba,generic,COMMONWEALTH BANK OF AUSTRALIA,https://www.iana.org/domains/root/db/cba.html
.cbn,generic,"The Christian Broadcasting Network, Inc.",https://www.iana.org/domains/root/db/cbn.html
.cbre,generic,"CBRE, Inc.",https://www.iana.org/domains/root/db/cbre.html
.cbs,generic,CBS Domains Inc.,https://www.iana.org/domains/root/db/cbs.html
.cc,country-code,"eNIC Cocos (Keeling) Islands Pty.
Ltd. d/b/a Island Internet Services",https://www.iana.org/domains/root/db/cc.html
.cd,country-code,Office Congolais des Postes et Télécommunications - OCPT,https://www.iana.org/domains/root/db/cd.html
.ceb,generic,The Corporate Executive Board Company,https://www.iana.org/domains/root/db/ceb.html
.center,generic,"Tin Mill, LLC",https://www.iana.org/domains/root/db/center.html
.ceo,generic,CEOTLD Pty Ltd,https://www.iana.org/domains/root/db/ceo.html
.cern,generic,"European Organization for Nuclear Research (""CERN"")",https://www.iana.org/domains/root/db/cern.html
.cf,country-code,Societe Centrafricaine de Telecommunications (SOCATEL),https://www.iana.org/domains/root/db/cf.html
.cfa,generic,CFA Institute,https://www.iana.org/domains/root/db/cfa.html
.cfd,generic,DOTCFD REGISTRY LTD,https://www.iana.org/domains/root/db/cfd.html
.cg,country-code,ONPT Congo and Interpoint Switzerland,https://www.iana.org/domains/root/db/cg.html
.ch,country-code,SWITCH The Swiss Education & Research Network,https://www.iana.org/domains/root/db/ch.html
.chanel,generic,Chanel International B.V.,https://www.iana.org/domains/root/db/chanel.html
.channel,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/channel.html
.chase,generic,"JPMorgan Chase Bank, National Association",https://www.iana.org/domains/root/db/chase.html
.chat,generic,"Sand Fields, LLC",https://www.iana.org/domains/root/db/chat.html
.cheap,generic,"Sand Cover, LLC",https://www.iana.org/domains/root/db/cheap.html
.chintai,generic,CHINTAI Corporation,https://www.iana.org/domains/root/db/chintai.html
.chloe,generic,Richemont DNS Inc.,https://www.iana.org/domains/root/db/chloe.html
.christmas,generic,"Uniregistry, Corp.",https://www.iana.org/domains/root/db/christmas.html
.chrome,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/chrome.html
.chrysler,generic,FCA US LLC.,https://www.iana.org/domains/root/db/chrysler.html
.church,generic,"Holly Fileds, LLC",https://www.iana.org/domains/root/db/church.html
.ci,country-code,INP-HB Institut National Polytechnique Felix Houphouet Boigny,https://www.iana.org/domains/root/db/ci.html
.cipriani,generic,Hotel Cipriani Srl,https://www.iana.org/domains/root/db/cipriani.html
.circle,generic,"Amazon Registry Services, Inc.",https://www.iana.org/domains/root/db/circle.html
.cisco,generic,"Cisco Technology, Inc.",https://www.iana.org/domains/root/db/cisco.html
.citadel,generic,Citadel Domain LLC,https://www.iana.org/domains/root/db/citadel.html
.citi,generic,Citigroup Inc.,https://www.iana.org/domains/root/db/citi.html
.citic,generic,CITIC Group Corporation,https://www.iana.org/domains/root/db/citic.html
.city,generic,"Snow Sky, LLC",https://www.iana.org/domains/root/db/city.html
.cityeats,generic,"Lifestyle Domain Holdings, Inc.",https://www.iana.org/domains/root/db/cityeats.html
.ck,country-code,Telecom Cook Islands Ltd.,https://www.iana.org/domains/root/db/ck.html
.cl,country-code,NIC Chile (University of Chile),https://www.iana.org/domains/root/db/cl.html
.claims,generic,"Black Corner, LLC",https://www.iana.org/domains/root/db/claims.html
.cleaning,generic,"Fox Shadow, LLC",https://www.iana.org/domains/root/db/cleaning.html
.click,generic,"Uniregistry, Corp.",https://www.iana.org/domains/root/db/click.html
.clinic,generic,"Goose Park, LLC",https://www.iana.org/domains/root/db/clinic.html
.clinique,generic,The Estée Lauder Companies Inc.,https://www.iana.org/domains/root/db/clinique.html
.clothing,generic,"Steel Lake, LLC",https://www.iana.org/domains/root/db/clothing.html
.cloud,generic,ARUBA PEC S.p.A.,https://www.iana.org/domains/root/db/cloud.html
.club,generic,".CLUB DOMAINS, LLC",https://www.iana.org/domains/root/db/club.html
.clubmed,generic,Club Méditerranée S.A.,https://www.iana.org/domains/root/db/clubmed.html
.cm,country-code,Cameroon Telecommunications (CAMTEL),https://www.iana.org/domains/root/db/cm.html
.cn,country-code,China Internet Network Information Center (CNNIC),https://www.iana.org/domains/root/db/cn.html
.co,country-code,.CO Internet S.A.S.,https://www.iana.org/domains/root/db/co.html
.coach,generic,"Koko Island, LLC",https://www.iana.org/domains/root/db/coach.html
.codes,generic,"Puff Willow, LLC",https://www.iana.org/domains/root/db/codes.html
.coffee,generic,"Trixy Cover, LLC",https://www.iana.org/domains/root/db/coffee.html
.college,generic,XYZ.COM LLC,https://www.iana.org/domains/root/db/college.html
.cologne,generic,NetCologne Gesellschaft für Telekommunikation mbH,https://www.iana.org/domains/root/db/cologne.html
.com,generic,VeriSign Global Registry Services,https://www.iana.org/domains/root/db/com.html
.comcast,generic,"Comcast IP Holdings I, LLC",https://www.iana.org/domains/root/db/comcast.html
.commbank,generic,COMMONWEALTH BANK OF AUSTRALIA,https://www.iana.org/domains/root/db/commbank.html
.community,generic,"Fox Orchard, LLC",https://www.iana.org/domains/root/db/community.html
.company,generic,"Silver Avenue, LLC",https://www.iana.org/domains/root/db/company.html
.compare,generic,iSelect Ltd,https://www.iana.org/domains/root/db/compare.html
.computer,generic,"Pine Mill, LLC",https://www.iana.org/domains/root/db/computer.html
.comsec,generic,"VeriSign, Inc.",https://www.iana.org/domains/root/db/comsec.html
.condos,generic,"Pine House, LLC",https://www.iana.org/domains/root/db/condos.html
.construction,generic,"Fox Dynamite, LLC",https://www.iana.org/domains/root/db/construction.html
.consulting,generic,"United TLD Holdco, LTD.",https://www.iana.org/domains/root/db/consulting.html
.contact,generic,"Top Level Spectrum, Inc.",https://www.iana.org/domains/root/db/contact.html
.contractors,generic,"Magic Woods, LLC",https://www.iana.org/domains/root/db/contractors.html
.cooking,generic,Top Level Domain Holdings Limited,https://www.iana.org/domains/root/db/cooking.html
.cookingchannel,generic,"Lifestyle Domain Holdings, Inc.",https://www.iana.org/domains/root/db/cookingchannel.html
.cool,generic,"Koko Lake, LLC",https://www.iana.org/domains/root/db/cool.html
.coop,sponsored,DotCooperation LLC,https://www.iana.org/domains/root/db/coop.html
.corsica,generic,Collectivité Territoriale de Corse,https://www.iana.org/domains/root/db/corsica.html
.country,generic,Top Level Domain Holdings Limited,https://www.iana.org/domains/root/db/country.html
.coupon,generic,"Amazon Registry Services, Inc.",https://www.iana.org/domains/root/db/coupon.html
.coupons,generic,"Black Island, LLC",https://www.iana.org/domains/root/db/coupons.html
.courses,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD,https://www.iana.org/domains/root/db/courses.html
.cr,country-code,"National Academy of Sciences
Academia Nacional de Ciencias",https://www.iana.org/domains/root/db/cr.html
.credit,generic,"Snow Shadow, LLC",https://www.iana.org/domains/root/db/credit.html
.creditcard,generic,"Binky Frostbite, LLC",https://www.iana.org/domains/root/db/creditcard.html
.creditunion,generic,"CUNA Performance Resources, LLC",https://www.iana.org/domains/root/db/creditunion.html
.cricket,generic,dot Cricket Limited,https://www.iana.org/domains/root/db/cricket.html
.crown,generic,Crown Equipment Corporation,https://www.iana.org/domains/root/db/crown.html
.crs,generic,Federated Co-operatives Limited,https://www.iana.org/domains/root/db/crs.html
.cruises,generic,"Spring Way, LLC",https://www.iana.org/domains/root/db/cruises.html
.csc,generic,"Alliance-One Services, Inc.",https://www.iana.org/domains/root/db/csc.html
.cu,country-code,"CENIAInternet
Industria y San Jose
Capitolio Nacional",https://www.iana.org/domains/root/db/cu.html
.cuisinella,generic,SALM S.A.S.,https://www.iana.org/domains/root/db/cuisinella.html
.cv,country-code,Agência Nacional das Comunicações (ANAC),https://www.iana.org/domains/root/db/cv.html
.cw,country-code,University of Curacao,https://www.iana.org/domains/root/db/cw.html
.cx,country-code,Christmas Island Domain Administration Limited,https://www.iana.org/domains/root/db/cx.html
.cy,country-code,University of Cyprus,https://www.iana.org/domains/root/db/cy.html
.cymru,generic,Nominet UK,https://www.iana.org/domains/root/db/cymru.html
.cyou,generic,"Beijing Gamease Age Digital Technology Co., Ltd.",https://www.iana.org/domains/root/db/cyou.html
.cz,country-code,"CZ.NIC, z.s.p.o",https://www.iana.org/domains/root/db/cz.html
.dabur,generic,Dabur India Limited,https://www.iana.org/domains/root/db/dabur.html
.dad,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/dad.html
.dance,generic,United TLD Holdco Ltd.,https://www.iana.org/domains/root/db/dance.html
.date,generic,dot Date Limited,https://www.iana.org/domains/root/db/date.html
.dating,generic,"Pine Fest, LLC",https://www.iana.org/domains/root/db/dating.html
.datsun,generic,"NISSAN MOTOR CO., LTD.",https://www.iana.org/domains/root/db/datsun.html
.day,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/day.html
.dclk,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/dclk.html
.dds,generic,Minds + Machines Group Limited,https://www.iana.org/domains/root/db/dds.html
